Year,Week_Number,mean_return,volatility,labels
2018,13,-0.16125,2.429330549,green
2018,14,0.1702,2.47228896,green
2018,15,1.2774,3.168017882,green
2018,16,0.2062,1.860824199,red
2018,17,-0.6656,3.842895302,green
2018,18,0.3596,3.037043678,red
2018,19,-0.7404,2.858998129,green
2018,20,0.7634,1.206600307,green
2018,21,0.4235,1.131183893,green
2018,22,1.4984,1.281446956,green
2018,23,0.4314,2.353502135,green
2018,24,0.69,2.385218963,red
2018,25,-1.3976,3.417867361,green
2018,26,1.11525,2.582883192,green
2018,27,1.2848,1.404278356,red
2018,28,-0.468,1.472949083,green
2018,29,0.4312,3.63445033,red
2018,30,-1.1452,3.112375251,green
2018,31,1.5188,2.211252858,red
2018,32,-0.0612,1.702289106,green
2018,33,0.4288,1.295164546,red
2018,34,-0.2954,0.958953753,red
2018,35,-1.553,2.800154401,green
2018,36,0.329,1.765688676,red
2018,37,-0.6124,2.028072804,green
2018,38,0.6638,1.471188533,red
2018,39,-1.8762,1.796446687,red
2018,40,-0.65,4.342354373,red
2018,41,-1.1968,3.148279641,red
2018,42,-0.323,3.186029818,red
2018,43,-0.922,4.736392456,red
2018,44,-0.0796,3.645117186,red
2018,45,-0.5288,2.945718877,red
2018,46,-0.85425,3.691659101,green
2018,47,1.0954,3.248603592,green
2018,48,-0.15475,3.335576549,red
2018,49,-1.4562,1.51318677,red
2018,50,-3.1684,2.577351703,green
2018,51,1.25975,3.194958568,green
2018,52,1.195,0,green
2019,0,1.588666667,6.537295338,green
2019,1,0.3672,2.765202741,green
2019,2,2.1136,2.385138633,green
2019,3,0.1995,1.686984786,red
2019,4,0.3864,1.740989604,green
2019,5,-0.3412,2.54450785,green
2019,6,1.9722,0.501859243,red
2019,7,0.45425,1.416943277,green
2019,8,-1.802,1.321592411,green
2019,9,0.3368,2.386766159,red
2019,10,0.273,2.632190818,green
2019,11,-0.3928,2.269540196,green
2019,12,0.007,2.984822692,green
2019,13,0.3444,1.631974663,red
2019,14,0.544,1.463273727,green
2019,15,-0.90125,2.593359774,red
2019,16,-0.164,3.068099167,green
2019,17,-0.2854,2.086990369,red
2019,18,0.2572,1.686207787,red
2019,19,-0.7264,2.389326432,green
2019,20,-1.2184,2.919281984,green
2019,21,0.19325,1.405813258,green
2019,22,2.2348,2.5225211,green
2019,23,0.6448,1.513614449,green
2019,24,0.5256,2.025111676,red
2019,25,-0.26,2.417331587,green
2019,26,0.01725,0.649700636,green
2019,27,0.8166,1.650469115,red
2019,28,-1.0912,1.445743649,green
2019,29,1.5194,0.736081042,red
2019,30,-0.2438,0.928999839,green
2019,31,0.2234,2.432511315,red
2019,32,-0.9348,2.308602001,red
2019,33,-1.339,1.807960868,red
2019,34,-0.4322,2.051093781,green
2019,35,0.21,1.154270621,red
2019,36,-0.7912,2.242103187,red
2019,37,-1.5592,1.523593679,red
2019,38,-1.4204,2.352480669,red
2019,39,0.7394,1.173270557,green
2019,40,-0.15,1.607974347,red
2019,41,-0.0102,2.092787424,red
2019,42,0.9216,1.525736314,green
2019,43,4.1998,7.136227484,green
2019,44,0.1574,2.818468432,green
2019,45,-0.0428,0.907540467,red
2019,46,-0.885,2.675456223,red
2019,47,0.2965,0.913842255,green
2019,48,0.7664,0.46862597,green
2019,49,-0.1182,0.718648175,red
2019,50,0.425,1.249836589,green
2019,51,0.47275,0.352191591,green
2019,52,-1.184,1.428355698,red
2020,0,0.982,0.568513852,green
2020,1,0.4712,1.693105195,red
2020,2,-0.99,2.041257823,red
2020,3,-0.28575,0.991644215,red
2020,4,-0.733,1.11333014,green
2020,5,1.881,4.238638048,red
2020,6,-1.7998,2.139541236,green
2020,7,1.055,2.095694475,red
2020,8,-1.3544,2.273866377,green
2020,9,1.1786,2.99302135,red
2020,10,-1.8744,4.191016798,red
2020,11,-0.9454,6.491504202,
2020,12,-0.146,6.180760875,
2020,13,-0.0678,0.476473714,
2020,14,1.9675,2.87041803,
2020,15,1.4932,2.282582244,
2020,16,-0.556,2.067752161,
2020,17,1.1434,6.218611766,
2020,18,0.998,1.470692354,
2020,19,0.9016,3.107458656,
2020,20,3.7434,4.443764935,
2020,21,-1.2025,3.045241151,
2020,22,0.3914,2.438030722,
2020,23,-0.42,3.163269274,
2020,24,5.2402,5.299219443,
2020,25,2.8246,4.300125614,
2020,26,0.64725,3.105022209,
2020,27,0.5226,2.723863671,
2020,28,-1.0476,3.699379516,
2020,29,0.6304,7.38220694,
2020,30,-0.8178,1.432828741,
2020,31,-0.4348,1.686813327,
2020,32,-0.0572,1.228177797,
2020,33,1.5316,1.863453058,
2020,34,0.6344,2.431148042,
2020,35,-2.2666,4.165508768,
2020,36,-0.646,2.644603562,
2020,37,-0.645,0.575126073,
2020,38,0.1968,2.156525377,
2020,39,0.3932,2.798525004,
2020,40,0.8168,2.298212066,
2020,41,1.0312,3.454913414,
2020,42,1.568,2.351594672,
2020,43,-3.2018,4.436817407,
2020,44,2.9348,4.609665682,
2020,45,-1.6006,4.743032237,
2020,46,0.5374,2.733707793,
2020,47,1.66325,1.688070175,
2020,48,3.0052,6.039532656,
2020,49,1.3628,3.782366151,
2020,50,-0.2374,3.970714457,
2020,51,-0.55625,2.439879693,
2020,52,-1.05025,1.768489256,
2021,1,2.378,3.414605761,
2021,2,-1.9262,2.900722358,
2021,3,1.50975,3.5282693,
2021,4,-1.446,1.543731356,
2021,5,-0.1558,5.298393407,
2021,6,1.814,2.128226844,
2021,7,1.798,1.982382237,
2021,8,-3.2842,4.152467544,
2021,9,-2.1176,4.608712543,
2021,10,0.4704,5.397576289,
2021,11,-0.5424,2.214816764,
2021,12,-0.7798,2.598800242,
2021,13,1.1465,3.136053199,
2021,14,0.4536,1.657127726,
2021,15,0.9592,3.819021432,
2021,16,-0.4588,4.7596956,
2021,17,-2.1782,6.59156307,
2021,18,-1.0196,1.528852282,
2021,19,-1.32,3.06662086,
2021,20,0.5056,1.89745021,
2021,21,1.0636,0.646166619,
2021,22,-0.548,2.02615317,
2021,23,0.6534,2.613820346,
2021,24,0.3498,2.505066905,
2021,25,1.4804,1.661701177,
2021,26,0.1204,1.688669239,
2021,27,-0.45425,2.057557512,
2021,28,-1.523,1.868760953,
2021,29,0.0396,1.298321339,
2021,30,-1.227,2.845436961,
2021,31,-0.57,2.368223701,
2021,32,-0.9456,2.103403742,
2021,33,0.516,2.907179733,
2021,34,0.857,1.213676028,
2021,35,1.9978,3.166705023,
2021,36,-0.11425,1.977676309,
2021,37,0.0358,1.470161284,
2021,38,-1.4738,1.76692988,
2021,39,-0.0506,2.502198194,
2021,40,0.3306,2.390086567,
2021,41,1.227,1.586339655,
2021,42,0.4582,1.780723926,
2021,43,2.798,4.241639365,
2021,44,-0.003,2.314247286,
2021,45,-0.5684,2.554255038,
2021,46,-1.537,1.35765036,
2021,47,-0.81225,2.935721873,
2021,48,-1.7942,2.810728144,
2021,49,0.416,2.685950018,
2021,50,0.2012,2.684100259,
2021,51,0.18025,3.160737401,
2021,52,-0.212,1.469962074,
2022,1,-0.863,3.416072086,
2022,2,-0.4132,3.178451935,
2022,3,-2.712,2.929356129,
2022,4,-2.3936,2.583410788,
2022,5,0.7776,12.14802463,
2022,6,-1.409,4.128414526,
2022,7,-1.1834,3.137879746,
2022,8,-0.02,3.22826393,
2022,9,-2.2614,3.397578152,
2022,10,-1.6034,3.880912238,
2022,11,3.1722,4.296601995,
2022,12,0.2126,3.14145783,
2022,13,1.0674,3.144107314,
2022,14,-1.62,3.55285322,
2022,15,-0.88025,2.199277362,
2022,16,-4.0378,5.306259813,
2022,17,-1.4046,6.894154538,
2022,18,0.6842,4.876016991,
2022,19,0.5614,8.510973229,
2022,20,0.2638,3.244053205,
2022,21,1.1062,4.030056538,
2022,22,-0.09725,4.257305124,
2022,23,-1.7358,5.294401874,
2022,24,-0.4664,5.476934526,
2022,25,1.92275,2.853513434,
2022,26,-1.7714,4.059644726,
2022,27,1.75025,4.395700504,
2022,28,-0.2988,4.217439709,
2022,29,1.802,3.295159708,
2022,30,0.4224,6.839388664,
2022,31,1.0166,2.538045074,
2022,32,0.8418,2.730564356,
2022,33,-2.0408,1.956466637,
2022,34,-0.3518,2.803533699,
2022,35,-0.9062,1.09055981,
2022,36,1.41025,3.119814244,
2022,37,-1.7982,4.191207785,
2022,38,-2.2908,1.080414134,
2022,39,-0.6336,3.713077201,
2022,40,0.4752,4.536422787,
2022,41,-1.437,2.128679285,
2022,42,1.6624,2.644660432,
2022,43,-0.9926,7.582338973,
2022,44,-3.12,2.464467082,
2022,45,3.432,5.033736237,
2022,46,-1.6282,2.806388195,
2022,47,0.5995,3.222173645,
2022,48,0.4416,3.325868127,
2022,49,-0.5088,2.711540466,
2022,50,-0.7946,4.87674946,
2022,51,0.802,2.371889648,
2022,52,0.414,1.954240347,
